script_name,variable,function_type,index,sw_avg
simulation_SWM.py,epsilon,l,2,"[9779918.932571396, 9593012.451014765, 9511342.140641011, 9463982.474243494, 9435817.095436731, 9402121.040690593, 9383987.545197582, 9366227.321422711, 9349026.132042583, 9336425.772483598, 9326685.005352203]"
simulation_SWM.py,epsilon,q,2,"[9716535.443181662, 9679838.697167544, 9629226.111018954, 9577567.29843364, 9552017.450074356, 9518292.233162414, 9496325.179009192, 9474390.460684394, 9465096.798862169, 9447135.584077723, 9432368.719393963]"
simulation_SWM.py,w,l,2,"[4553802.590044327, 5508752.442023034, 6470288.080917504, 7432377.1035014, 8393541.616935706, 9363246.265063304, 10325965.227497775, 11295237.335746704, 12264671.700408494, 13233276.279466359, 14204220.697693748]"
simulation_SWM.py,w,q,2,"[4672125.759299075, 5632109.425485915, 6588982.604435854, 7549646.970969899, 8512479.260689344, 9473845.2391656, 10437272.219093038, 11402823.82313013, 12365051.429558521, 13333388.44290225, 14297161.440824414]"
